planned_duration_days,elapsed_days,progress_variance_pct,material_availability_pct,material_delay_days,labor_count,previous_delay_count,budget_variance_pct,deadline_days_remaining,task_completion_rate_pct,delay
103,13,-9,96,1,21,4,30,104,3,1
134,125,-12,91,0,28,8,8,35,85,0
106,91,13,98,0,34,2,-6,11,100,0
67,46,6,98,0,12,0,-1,21,74,0
111,63,-20,93,4,22,8,19,45,20,1
268,169,0,98,1,65,3,3,32,66,0
128,70,-28,89,4,21,8,27,106,15,1
99,45,7,97,0,24,1,-10,51,55,0
149,74,2,97,0,47,2,5,55,58,0
95,22,5,94,1,25,1,-1,89,24,0
107,45,6,78,3,23,2,7,72,44,0
79,21,10,99,0,27,2,4,60,30,0
60,28,-30,93,6,16,8,30,61,11,1
84,68,-15,92,2,23,8,17,15,66,1
118,81,-16,66,3,19,5,13,29,68,0
89,41,-18,96,3,12,6,19,85,18,1
91,66,-2,92,1,31,6,11,36,64,0
174,157,-7,90,0,30,1,3,1,72,1
240,86,-34,65,11,27,8,30,174,4,1
190,52,20,98,0,98,0,-10,126,48,0
56,28,-21,92,1,6,4,13,33,21,1
131,96,-12,81,3,30,8,22,36,57,1
170,117,3,86,0,34,4,10,101,78,0
201,135,-32,77,5,21,6,24,105,21,1
233,55,8,91,0,70,1,-7,180,44,0
122,93,4,100,1,28,0,-10,18,83,0
65,45,-12,97,1,23,7,15,20,55,1
93,57,-19,92,3,17,6,19,42,36,1
365,64,-22,83,2,52,8,28,180,6,1
133,86,-12,83,4,15,5,11,81,47,0
139,62,-31,40,20,22,3,28,66,26,1
172,89,6,96,0,56,1,-1,107,71,0
118,55,7,90,0,44,0,5,34,59,0
141,65,1,93,3,31,1,-5,88,43,0
86,41,-14,99,1,19,6,17,37,26,1
209,188,-13,79,4,36,4,17,21,89,0
50,39,-3,87,2,14,6,8,23,67,0
150,66,3,95,2,22,1,7,91,54,0
112,90,-27,64,16,17,4,27,58,55,1
78,67,7,97,0,27,1,3,10,96,0
80,50,-5,86,1,13,2,7,39,58,0
321,203,3,96,0,33,1,-3,137,62,0
112,64,-1,95,0,30,2,2,70,64,0
113,42,-1,93,2,54,1,2,97,37,0
120,91,6,80,0,29,1,0,37,75,0
90,44,-4,84,4,23,2,7,50,50,0
127,63,-10,73,0,21,2,7,72,24,1
114,53,-17,81,0,16,2,17,74,16,0
223,45,-4,93,1,57,0,3,180,11,0
219,86,-10,87,1,51,2,14,171,18,0
158,118,-21,82,4,26,2,18,48,51,0
117,92,5,86,2,47,2,-7,17,83,0
84,74,-21,93,4,13,7,25,18,70,0
123,51,-2,95,0,26,2,18,61,37,0
157,88,9,94,0,64,2,-7,69,59,0
208,66,-7,95,3,50,1,11,123,32,0
130,80,-11,99,1,32,0,-7,50,42,1
119,41,-1,79,3,35,0,1,60,31,0
128,13,-1,97,3,31,2,8,118,8,0
227,165,17,95,1,75,1,-9,108,89,0
109,73,-6,96,2,25,0,5,36,69,0
81,32,1,98,0,17,0,-1,68,41,0
136,23,-3,95,1,41,2,-1,135,4,0
47,27,-11,95,1,9,5,16,20,41,1
123,84,-5,94,1,25,3,3,52,59,0
254,101,-17,83,3,44,5,15,180,16,0
82,34,-2,76,3,17,4,6,29,44,0
105,82,8,82,2,30,1,-3,39,100,0
78,70,-9,99,2,23,3,12,8,74,0
139,56,7,99,3,38,2,5,120,45,0
109,29,4,97,1,18,0,-4,77,28,0
91,47,-5,90,2,46,5,14,49,45,0
97,38,8,97,0,20,1,-3,71,39,0
30,25,-18,40,20,11,6,28,13,66,1
119,110,20,96,0,47,1,-2,12,100,0
156,59,-4,91,3,28,2,0,114,34,0
173,151,-24,89,2,27,6,25,19,61,1
103,60,-28,99,2,18,8,23,69,32,1
36,29,5,98,0,11,2,-3,12,80,0
127,56,-5,89,1,38,2,10,62,33,0
89,30,-17,90,4,15,4,19,78,24,0
76,27,-13,91,4,19,3,10,75,29,0
49,29,2,89,0,15,5,-3,20,62,1
129,75,-3,84,2,26,2,-2,54,47,1
57,40,5,97,1,21,2,5,27,66,1
65,48,9,92,1,22,3,-1,13,76,0
101,13,4,98,1,32,0,-5,86,12,0
43,16,-11,83,2,16,4,10,33,28,0
144,65,-13,92,2,15,1,5,57,23,0
80,22,18,94,0,27,0,-10,63,47,0
193,52,5,94,1,42,0,-3,120,41,0
183,78,8,95,3,37,4,2,76,49,0
41,26,-23,75,5,6,2,19,28,50,1
87,62,0,97,1,22,3,-2,21,68,0
63,17,-17,94,2,13,4,19,71,0,0
42,20,5,93,0,18,0,-5,24,45,0
181,116,2,100,2,47,1,2,85,59,0
96,45,-6,94,0,25,3,5,47,34,0
93,24,-8,89,5,22,4,4,93,6,0
131,21,-6,95,1,17,1,11,110,12,0
195,132,-1,96,1,46,2,8,52,71,0
114,60,-11,88,2,22,5,11,59,46,0
69,29,4,94,2,32,1,5,44,52,0
39,16,8,98,3,19,1,-4,27,48,0
117,26,14,95,1,33,0,-10,64,40,0
155,47,5,92,1,41,0,-5,110,42,0
52,12,0,99,0,12,2,2,45,21,0
152,83,-9,96,0,52,1,13,101,51,0
87,43,3,94,1,51,1,11,61,49,1
70,43,-3,84,1,12,1,9,31,61,0
125,21,-12,71,4,18,4,20,136,15,0
144,51,-13,93,0,50,4,4,126,22,0
233,79,-9,96,3,44,6,6,180,25,0
365,257,9,90,0,66,3,12,40,65,0
174,163,4,91,0,50,1,10,32,95,1
137,65,-13,85,7,36,6,10,70,22,0
155,44,6,97,1,35,2,-2,90,38,0
324,213,-10,94,4,55,2,12,93,70,0
73,38,-14,93,5,18,7,25,49,43,0
188,114,-3,86,1,50,1,5,76,55,0
53,14,-25,82,5,13,7,30,46,7,1
53,46,-18,88,3,9,4,12,12,92,0
59,21,20,82,0,28,1,3,52,46,0
59,27,1,86,2,16,0,1,38,51,0
233,156,12,95,2,70,0,-7,58,82,0
286,137,3,93,0,37,0,2,139,51,0
365,294,11,90,0,80,1,-5,48,87,0
134,65,3,98,0,46,0,0,54,54,0
216,47,-2,80,2,46,3,-2,180,25,0
132,105,-2,100,0,24,3,5,1,75,1
153,116,-22,92,3,19,8,21,50,49,1
158,37,5,95,1,27,0,-2,121,30,0
101,42,7,96,0,28,0,-10,65,56,0
126,68,-10,96,1,26,4,13,58,32,0
169,83,8,91,2,32,0,0,99,74,0
51,47,-3,84,3,12,3,2,9,87,0
88,52,11,98,1,18,1,-10,50,73,0
198,148,-8,94,0,32,4,6,50,70,0
159,111,-17,60,7,56,3,15,58,52,1
109,48,3,88,0,16,0,1,71,53,0
155,26,-6,94,0,26,3,2,100,6,0
185,83,-16,97,4,25,8,26,69,33,1
131,62,-18,94,3,27,3,25,82,36,1
97,59,-8,99,2,14,1,7,14,59,0
142,27,4,95,0,45,2,3,132,30,0
91,72,-22,84,1,12,8,24,33,58,1
119,70,11,95,1,40,0,1,40,67,0
76,35,-1,99,1,18,1,2,43,56,0
69,38,3,96,0,15,1,-8,49,53,0
53,39,5,98,0,25,1,2,22,70,0
164,87,-1,94,0,50,0,6,79,65,0
105,58,-16,93,0,38,4,15,58,44,1
110,71,-12,92,0,21,2,14,60,41,1
112,45,-10,66,3,31,4,16,65,39,1
30,25,-1,94,1,16,5,8,20,84,0
49,29,-8,98,1,12,1,10,28,45,0
88,68,11,97,0,21,0,-10,10,94,0
148,119,-17,81,0,27,4,21,29,55,1
148,40,-21,89,4,22,6,20,121,9,1
77,60,-10,88,4,17,1,8,13,70,1
103,79,-6,94,2,26,2,12,37,81,0
359,294,-16,83,5,62,6,26,64,66,1
106,51,-4,86,0,24,1,-6,80,45,0
85,23,0,93,0,26,0,-9,89,41,0
54,29,-17,86,1,9,5,15,42,29,1
96,78,-6,92,4,18,2,9,12,68,0
155,119,-3,97,0,35,3,12,39,59,0
47,15,-9,93,2,18,1,14,34,15,1
230,74,1,94,1,41,1,8,150,36,1
78,11,1,88,4,35,1,4,62,10,0
142,87,-15,95,0,28,5,15,33,49,0
243,125,-14,95,1,58,1,6,161,44,0
109,95,-11,83,1,12,3,17,36,87,1
103,57,-8,96,1,17,0,5,47,44,1
88,42,2,90,0,20,0,4,48,59,0
234,171,3,97,0,99,3,7,93,76,0
121,31,14,98,0,33,0,-10,98,51,0
167,77,1,98,0,40,0,0,133,48,0
